Nome,Secao,LinkBI,LinkImagem
Dashboard Gerencial,Controladoria,https://app.powerbi.com/view?r=eyJrIjoiMTc4NmE0NTUtYWJlOS00MGEzLTk2OTUtNDYyNzllNmRhZjE0IiwidCI6Ijk0YzE5MjZmLWZiYTAtNDZlMi1iMTk0LWQyZDQzNWU2OTEwNSJ9,https://raw.githubusercontent.com/RostGuilherme/BrSupply-Imagens/main/BI_Dashboard%20Br%20Supply.png
Painel de Despesas,Controladoria,https://app.powerbi.com/view?r=eyJrIjoiMTQ0MThmZDUtZjllOC00ZDM3LWJjMzYtNDZkZDllMGVkZTBkIiwidCI6Ijk0YzE5MjZmLWZiYTAtNDZlMi1iMTk0LWQyZDQzNWU2OTEwNSJ9,https://raw.githubusercontent.com/RostGuilherme/BrSupply-Imagens/main/BI_Painel%20De%20Despesas.png
Painel de Chamados,Controladoria,https://app.powerbi.com/view?r=eyJrIjoiNGYxZjlkNTgtNmI1MC00ZjAzLWEzNTQtMDM1MjE1OWRjMzk0IiwidCI6Ijk0YzE5MjZmLWZiYTAtNDZlMi1iMTk0LWQyZDQzNWU2OTEwNSJ9,https://raw.githubusercontent.com/RostGuilherme/BrSupply-Imagens/main/BI_Painel%20de%20Chamados.png
Monitor de Validação Fiscal,Controladoria,https://app.powerbi.com/view?r=eyJrIjoiYzcxOGIwZmMtNGUyMi00MGRjLWFkYWQtNGMyNThhNTZhYjhmIiwidCI6Ijk0YzE5MjZmLWZiYTAtNDZlMi1iMTk0LWQyZDQzNWU2OTEwNSJ9,https://raw.githubusercontent.com/RostGuilherme/BrSupply-Imagens/main/BI_Monitor%20de%20Valida%C3%A7%C3%A3o%20Fiscal.png
Painel de Estoque Auditoria,Controladoria,https://app.powerbi.com/view?r=eyJrIjoiZGUxM2MyMzEtODU5ZC00ODRhLTg1ZWUtMDI0MWI5NDI1YmZjIiwidCI6Ijk0YzE5MjZmLWZiYTAtNDZlMi1iMTk0LWQyZDQzNWU2OTEwNSJ9,https://raw.githubusercontent.com/RostGuilherme/BrSupply-Imagens/main/BI_Painel%20de%20Estoque%20Auditoria.png
Gestão de Inadimplência,Controladoria,https://app.powerbi.com/view?r=eyJrIjoiODc0OTdlZGItNWFmMi00ZmNhLWIyNGEtNTY0NDc1MTYwMjM2IiwidCI6Ijk0YzE5MjZmLWZiYTAtNDZlMi1iMTk0LWQyZDQzNWU2OTEwNSJ9,https://raw.githubusercontent.com/RostGuilherme/BrSupply-Imagens/main/BI_Gest%C3%A3o%20de%20Inadimpl%C3%AAncia.png
Torre Distribuição,Distribuição,https://app.powerbi.com/view?r=eyJrIjoiYmZlMzIxODMtYjNiNi00MzdiLWIyZWUtNmI0YTY4OGRlZTAwIiwidCI6Ijk0YzE5MjZmLWZiYTAtNDZlMi1iMTk0LWQyZDQzNWU2OTEwNSJ9,https://raw.githubusercontent.com/RostGuilherme/BrSupply-Imagens/main/BI_Torre%20Distribui%C3%A7%C3%A3o.png
Gerenciamento de Transferências,Distribuição,https://app.powerbi.com/view?r=eyJrIjoiYjZjZGM3MTctYjJmMS00NTVmLTgwNDAtMDA3YzQ2Njg5ZjAxIiwidCI6Ijk0YzE5MjZmLWZiYTAtNDZlMi1iMTk0LWQyZDQzNWU2OTEwNSJ9,https://raw.githubusercontent.com/RostGuilherme/BrSupply-Imagens/main/BI_Gerenciamento%20de%20Transfer%C3%AAncias.png
Monitoramento Crossdocking,Distribuição,https://app.powerbi.com/view?r=eyJrIjoiNmZmNDI0MjctYTMyNC00ODg4LWFkMDUtYjFiNTk1ZTZlN2MwIiwidCI6Ijk0YzE5MjZmLWZiYTAtNDZlMi1iMTk0LWQyZDQzNWU2OTEwNSJ9,https://raw.githubusercontent.com/RostGuilherme/BrSupply-Imagens/main/BI_Monitoramento%20Crossdocking.png
Controle de Bipagem,Distribuição,https://app.powerbi.com/view?r=eyJrIjoiMTEzNDgyNWEtNmI3ZC00ZDYxLWI0MzUtNmUxZjk2YjFhNDcxIiwidCI6Ijk0YzE5MjZmLWZiYTAtNDZlMi1iMTk0LWQyZDQzNWU2OTEwNSJ9,https://raw.githubusercontent.com/RostGuilherme/BrSupply-Imagens/main/BI_Controle%20de%20Bipagem.png
Custo de Frete,Distribuição,https://app.powerbi.com/view?r=eyJrIjoiZjllNjgwNmUtYzI2Zi00YjFkLWE0YWYtMjIwYTRkNzMwMWMzIiwidCI6Ijk0YzE5MjZmLWZiYTAtNDZlMi1iMTk0LWQyZDQzNWU2OTEwNSJ9,https://raw.githubusercontent.com/RostGuilherme/BrSupply-Imagens/main/BI_Custo%20Frete.png
Monitor de Ruptura WMS,Intralogística,https://app.powerbi.com/view?r=eyJrIjoiYmFlYWVkYmMtMDQ1MS00NjMzLThlMzMtOTFmODc1NzNjNDMxIiwidCI6Ijk0YzE5MjZmLWZiYTAtNDZlMi1iMTk0LWQyZDQzNWU2OTEwNSJ9,https://raw.githubusercontent.com/RostGuilherme/BrSupply-Imagens/main/BI_Monitor%20de%20Ruptura%20WMS.png
Ocupação de Estoque,Intralogística,https://app.powerbi.com/view?r=eyJrIjoiZWFkMWQ0NDUtOGJlZC00ZDBlLWI5OWUtOGUxNTg5YjliZTY0IiwidCI6Ijk0YzE5MjZmLWZiYTAtNDZlMi1iMTk0LWQyZDQzNWU2OTEwNSJ9,https://raw.githubusercontent.com/RostGuilherme/BrSupply-Imagens/main/BI_Ocupa%C3%A7%C3%A3o%20de%20Estoque.png
Monitor de Endereços Compartilhados,Intralogística,https://app.powerbi.com/view?r=eyJrIjoiODA2MTE1YzktNDE2MS00OWY0LWFlZDctYmYyY2JjZjVhOWIyIiwidCI6Ijk0YzE5MjZmLWZiYTAtNDZlMi1iMTk0LWQyZDQzNWU2OTEwNSJ9,https://raw.githubusercontent.com/RostGuilherme/BrSupply-Imagens/main/BI_Monitor%20Endere%C3%A7os%20Compartilhados.png
Painel de Recebimento,Intralogística,https://app.powerbi.com/view?r=eyJrIjoiZDBiYzliMzctYjAyMC00ZDdkLWE4YWMtZDg4MTg0NmE4ODcxIiwidCI6Ijk0YzE5MjZmLWZiYTAtNDZlMi1iMTk0LWQyZDQzNWU2OTEwNSJ9,https://raw.githubusercontent.com/RostGuilherme/BrSupply-Imagens/main/BI_Painel%20de%20Recebimento.png
Pedido Perfeito,Intralogística,https://app.powerbi.com/view?r=eyJrIjoiNzRhN2NmMWQtZWI0ZC00NTA5LWI0MGQtNmUwYWU2YTUzYjBlIiwidCI6Ijk0YzE5MjZmLWZiYTAtNDZlMi1iMTk0LWQyZDQzNWU2OTEwNSJ9,https://raw.githubusercontent.com/RostGuilherme/BrSupply-Imagens/main/BI_Pedido%20Perfeito.png
Atraso de Embarque,Intralogística,https://app.powerbi.com/view?r=eyJrIjoiOTgxMzJkOGMtMjBhNy00OWI0LThlMTEtMzM3YjIyN2ZjMzI4IiwidCI6Ijk0YzE5MjZmLWZiYTAtNDZlMi1iMTk0LWQyZDQzNWU2OTEwNSJ9,https://raw.githubusercontent.com/RostGuilherme/BrSupply-Imagens/main/BI_Intralog%C3%ADstica_Atraso%20de%20Embarque.png
Chamados Operação e Distribuição,Intralogística,https://app.powerbi.com/view?r=eyJrIjoiNWFhOGJjZTItNTBiOS00OTRiLWE1ODEtMGY0YjMwZTMxNGEzIiwidCI6Ijk0YzE5MjZmLWZiYTAtNDZlMi1iMTk0LWQyZDQzNWU2OTEwNSJ9,https://raw.githubusercontent.com/RostGuilherme/BrSupply-Imagens/main/BI_Intralog%C3%ADstica_Chamados%20Opera%C3%A7%C3%A3o%20e%20Distribui%C3%A7%C3%A3o.png
Produtividade de Separação,Intralogística,https://app.powerbi.com/view?r=eyJrIjoiMWIxN2Q3OTctOTRmZS00NTQzLTk1NGUtOWI0YWI0ZDQ2NTIxIiwidCI6Ijk0YzE5MjZmLWZiYTAtNDZlMi1iMTk0LWQyZDQzNWU2OTEwNSJ9,https://raw.githubusercontent.com/RostGuilherme/BrSupply-Imagens/main/BI_Intralog%C3%ADstica_Produtividade%20de%20Separa%C3%A7%C3%A3o.png
Programação de Pedidos,Intralogística,https://app.powerbi.com/view?r=eyJrIjoiYzQ3ZTI4ZjYtNDUyNy00YTE3LWIzNDktOTkwNzgxNmU1ZDlkIiwidCI6Ijk0YzE5MjZmLWZiYTAtNDZlMi1iMTk0LWQyZDQzNWU2OTEwNSJ9,https://raw.githubusercontent.com/RostGuilherme/BrSupply-Imagens/main/BI_Intralog%C3%ADstica_Programa%C3%A7%C3%A3o%20de%20Pedidos.png
Esteira de Pedidos - Performance,Planejamento e Controle,https://app.powerbi.com/view?r=eyJrIjoiYzdhNjk1YmEtMDdlOC00NzkwLTliODEtMjE0OGM2YjJjM2JiIiwidCI6Ijk0YzE5MjZmLWZiYTAtNDZlMi1iMTk0LWQyZDQzNWU2OTEwNSJ9,https://raw.githubusercontent.com/RostGuilherme/BrSupply-Imagens/main/BI_Esteira%20de%20Pedidos%20-%20Performance.png
Esteira de Pedidos,Planejamento e Controle,https://app.powerbi.com/view?r=eyJrIjoiZDk0MTQxMzAtOWExMi00YWRkLTlkYTktMDM0NjA2M2Y2Yzg2IiwidCI6Ijk0YzE5MjZmLWZiYTAtNDZlMi1iMTk0LWQyZDQzNWU2OTEwNSJ9,https://raw.githubusercontent.com/RostGuilherme/BrSupply-Imagens/main/BI_Esteira%20de%20Pedidos.png
Monitoramento Pré-Embarque,Planejamento e Controle,https://app.powerbi.com/view?r=eyJrIjoiYmFlNWExMjMtOTgxZS00ZTllLWE1NzgtZjQ5ZWNiNjI1ZjM3IiwidCI6Ijk0YzE5MjZmLWZiYTAtNDZlMi1iMTk0LWQyZDQzNWU2OTEwNSJ9,https://raw.githubusercontent.com/RostGuilherme/BrSupply-Imagens/main/BI_Monitoramento%20Pr%C3%A9-Embarque.png
Bonificações e Descontos,Comercial,https://app.powerbi.com/view?r=eyJrIjoiNjBhY2U3NWEtZDc5MS00ODcxLWJiYzAtMGViMTQ0MDU0YjQxIiwidCI6Ijk0YzE5MjZmLWZiYTAtNDZlMi1iMTk0LWQyZDQzNWU2OTEwNSJ9,https://raw.githubusercontent.com/RostGuilherme/BrSupply-Imagens/main/BI_Bonifica%C3%A7%C3%B5es%20e%20Descontos.png
Gestão de RH,Recursos Humanos,https://app.powerbi.com/view?r=eyJrIjoiZDJlNTQ0MjctNmJjMS00OTYzLWFiZGQtZWU1MTc3ZWJhNTZlIiwidCI6Ijk0YzE5MjZmLWZiYTAtNDZlMi1iMTk0LWQyZDQzNWU2OTEwNSJ9,https://raw.githubusercontent.com/RostGuilherme/BrSupply-Imagens/main/BI_Gest%C3%A3o%20de%20RH.png
